Account,date,daily_pnl,n_trades,n_wins,win_rate,avg_trade_size_usd,total_volume_usd,longs,shorts,value,classification
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-04-08,0.0,1.0,0.0,0.0,0.01,0.01,0.0,1.0,76,Extreme Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-05-09,0.0,1.0,0.0,0.0,0.84,0.84,0.0,1.0,55,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-06-08,215.754798,27.0,8.0,0.2962962962962963,28.555555555555557,771.0,1.0,26.0,72,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-08,0.0,11.0,0.0,0.0,0.0036363636363636364,0.04,0.0,11.0,28,Fear
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-11-01,0.0,2.0,0.0,0.0,23066.935,46133.87,2.0,0.0,75,Extreme Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-01-12,0.0,1.0,0.0,0.0,199.81,199.81,0.0,1.0,71,Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-03-12,0.0,1.0,0.0,0.0,209.94,209.94,0.0,1.0,81,Extreme Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-05-12,0.0,6.0,0.0,0.0,10238.081666666667,61428.49,6.0,0.0,56,Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-06-12,0.0,20.0,0.0,0.0,1657.5530000000003,33151.060000000005,5.0,15.0,72,Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-09-12,483.662076,8.0,8.0,1.0,603.1,4824.8,8.0,0.0,31,Fear
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-12,0.0,3.0,0.0,0.0,22522.036666666667,67566.11,3.0,0.0,49,Neutral
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-11-12,3721.345649,4.0,4.0,1.0,40012.55,160050.2,0.0,4.0,80,Extreme Greed
